Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Product Group Manager,PT Wismilak Inti Makmur Tbk,Surabaya,"Rp8,889,191"
Import Specialist,PT Fajar Gelora Inti,Jakarta Pusat,"Rp6,370,432"
Secretary,PT Euroasiatic Jaya,Tangerang Selatan,"Rp5,951,482"
Purchasing Admin,Daewoong Bio Indonesia,Bali,"Rp4,050,831"
Head Of Supply Chain,PT Kencana Panelindo,Jakarta Barat,"Rp13,500,000"
KEPALA BAGIAN (ASISTEN MANAJER) KEPATUHAN DAN RISIKO,PT PESONNA OPTIMA JASA,Jakarta Pusat,"Rp10,000,000"
Personal Assistant CEO,Orderkuota,Mojokerto,"Rp5,625,000"
HRGA Manager - Building Management & Construction,PT Dwida Cakrawala Indonesia,Jakarta Selatan,"Rp22,500,000"
Marketing Development Officer,CIPUTRA GROUP,Jawa Barat,"Rp5,416,084"
Recruitment Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp5,600,000"
Recruitment Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp5,933,150"
HRBP,PT Jomon Persada Nusantara,Jakarta Utara,"Rp5,794,195"
BRANCH MANAGER MAKASSAR,PT Adhi Cakra Utama Mulia,Makassar,"Rp9,124,698"
HR Generalist,PT Wook Global Technology,Jakarta Utara,"Rp6,260,020"
QNB Indonesia Aspire Internship Program (IT Internship),PT Bank QNB Indonesia Tbk,Jakarta Pusat,"Rp2,602,527"
HC Organization Development,CIPUTRA GROUP,Jakarta Raya,"Rp6,749,903"
Secretary & Personal Assistant to Director - SURABAYA,Kitchenware Indonesia,Surabaya,"Rp5,600,000"
Staff Marketing Branding (Yogyakarta),PT Wook Global Technology,Yogyakarta,"Rp3,502,856"
Electrical Engineer,PT Industrial Robotic Automation,Karawang,"Rp6,061,398"
RETAIL OPERATION SPECIALIST,Artha Inti Mentari,Tangerang,"Rp6,750,000"
SITE MANAGER,KJB,Bali,"Rp11,250,000"
Teknisi Kalibrasi,Prokalindo Global Presisi,Depok,"Rp5,850,000"
