Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Admin Proyek (Estimator),CV Modern,Surabaya,"Rp3,880,953"
Division Head of Asset/Plant Management,PT Kideco Jaya Agung (Kideco),Paser,"Rp9,204,664"
Sales,PT SOUTHEAT LOGISTICS INDONESIA,Jakarta Raya,"Rp9,000,000"
Underwriting,PT INDOLIFE PENSIONTAMA,Jakarta Raya,"Rp6,038,119"
"General Manager, Renewable Energy",LYS ENERGY SOLUTIONS PTE. LTD.,Bekasi,"Rp22,864,773"
Housekeeper (Staff HK),PT VILLA COCO BALI,Seminyak,"Rp3,650,000"
Estate Management Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp6,663,063"
QHSE Supervisor (Shipyard),PT TRI SUKSES WANATAMA,Tangerang,"Rp7,100,209"
Pengawas / Pelaksana,PT Rudei International,Jakarta Raya,"Rp4,500,000"
LEGAL REGULATORY AFFAIR,PT. iCT Worldwide Indonesia,Jakarta Selatan,"Rp7,000,000"
Business Development,PT Digivla Indonesia,Jakarta Selatan,"Rp9,253,526"
Supervisor Restoran,INTI BOGA SUKSES BERJAYA,Jakarta Raya,"Rp1,850,000"
Supervisor Restoran,INTI BOGA SUKSES BERJAYA,Jakarta Raya,"Rp2,936,915"
Helper / ASISTEN RUMAH TANGGA,PT. HANSA AGRO LESTARI,Kabupaten Bogor,"Rp1,850,000"
Textile Machinery Engineering,PT Murata Machinery Indonesia,Bandung,"Rp5,133,906"
Personal Assistant,PT Federal Mardhika Citramandiri,Gunung Putri,"Rp8,500,000"
Branch Manager Medan,PT. Dwidaya World Wide,Medan,"Rp10,407,826"
Social Media Manager,PT Wedison Green Energy Group,Jakarta Raya,"Rp6,969,899"
Sales Manager,PT Santiniluwansa Lestari,Cileungsi,"Rp9,500,000"
KOL & Affiliate Marketing,Learning Time Limited,Jakarta Selatan,"Rp6,000,000"
TECHNICAL SUPPORT CHILLER,PT Airkon Pratama,Jakarta Selatan,"Rp6,500,000"
Sales Representative - Malang,PT Wuerth Indonesia,Malang,"Rp4,500,000"
Legal Manager,PT Empat Mitra Indika Tenaga Surya,Jakarta Raya,"Rp12,951,372"
Architect,CIPUTRA GROUP,Jakarta Raya,"Rp6,153,686"
Account Manager (Hybrid Working),PT Jobstreet Indonesia,Bandung,"Rp8,331,000"
Legal Specialist,PT Tenaga Listrik Bengkulu,Kota Bengkulu,"Rp12,500,000"
ç”µå•†è¿è¥ ( E-Commerce Operational),PT GOGOBUY ECOMMERCE INDONESIA,Jakarta Selatan,"Rp15,500,000"
HR-GA Manager,Pengiklan Anonim,Driyorejo,"Rp12,825,268"
Travel Consultant Banjarmasin,PT. Dwidaya World Wide,Banjarmasin,"Rp5,202,470"
Personal Assistant Director,JINISO.ID,Tangerang,"Rp8,110,645"
KOL Specialist,"PT. Zyrexindo Mandiri Buana, Tbk",Jakarta Barat,"Rp5,413,688"
Project General Manager,Pengiklan Anonim,Sumatera Selatan,"Rp6,840,998"
Office Management Support,PT Finansindo Manatama Internasional,Denpasar Selatan,"Rp4,750,000"
Emergency Response Team Section Head,Sinarmas Mining,Angsana,"Rp6,168,930"
Production Manager (Nickel Mine),PT Huaan Mining Engineering,Konawe Utara,"Rp13,500,000"
Multimedia Graphic Designer,PT Wedison Green Energy Group,Jakarta Raya,"Rp7,008,923"
ACCOUNTING TAX,PT Shinmado,Jakarta Utara,"Rp8,000,000"
Senior Finance & Accounting,PT. IDX CONSULTING,Jakarta Raya,"Rp6,616,430"
Accounting Quality Control,PT. UKR,Maros,"Rp4,250,000"
Route To Market Manager,COMBIPHAR Group,Jakarta Selatan,"Rp15,570,788"
Business Development Specialist,PT HIJAU ADIL BAHAGIA (BURGREENS),Jakarta Raya,"Rp7,674,278"
STAFF TENDER / IT,PERSEROAN TERBATAS - BADAN ANDHIKASURYA ERAMITRA,Krembangan,"Rp4,750,000"
"Manager, Route to Market & Sales Digitization - SEA",Mondelez International AMEA,Jakarta Raya,"Rp14,052,947"
Product Buyer,PT Kecantikan Alami Indonesia,Grogol Petamburan,"Rp5,431,865"
STAFF MARKETING EXPORT,PT Peroni Karya Sentra,Ngoro,"Rp5,928,013"
STAFF MARKETING EXPORT,PT Peroni Karya Sentra,Ngoro,"Rp5,928,013"
Sales Marketing Beverage,PT Ace Mega Sedayu,Jakarta Barat,"Rp7,000,000"
Creative Designer,Howel and Co Indonesia,Jakarta Barat,"Rp6,250,000"
Administration Staff,PT Timur Raya Lestari,Jakarta Timur,"Rp5,750,000"
Wellhead Integrity / Gate Valve PM,PT Asia Serv Indonesia,Banten,"Rp5,506,659"
Content Creator / Social Media Specialist,Artha Inti Mentari,Tangerang,"Rp5,500,000"
Sales Commercial Industry,PT TRADA PACIFIC MEGANTARA,Jakarta Raya,"Rp16,994,186"
Head of Sales,PT. CIPTA ANEKA SELERA,Lampung,"Rp6,954,260"
SENIOR MANAGER FINANCE ACCOUNTING & TAX,PT Kuopacific Nusantara,Kelapa Gading,"Rp18,357,344"
Sales Executive Retail Modern Trade (Maternity Leave),PT Delisari Nusantara,Jakarta Utara,"Rp6,107,034"
Project Manager,PT Taisho Pharmaceutical Indonesia Tbk.,Depok,"Rp10,499,749"
Accounting Staff,PT Metaphor Indonesia,Jakarta Utara,"Rp6,587,194"
Enrolment Officer,Dyatmika School,Denpasar Timur,"Rp4,825,788"
SENIOR SOCIAL MEDIA ADMIN,Degold (Jayakarta prima makmur),Jakarta Barat,"Rp4,282,289"
SALES AND ADMINISTRATION MANAGER,PT Toyota Tsusho Logistic Center,Bekasi,"Rp13,943,422"
ACCOUNTING,PERSEROAN TERBATAS - BADAN ANDHIKASURYA ERAMITRA,Surabaya,"Rp4,250,000"
Product Associate (Ethical),"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,"Rp6,446,738"
QS Analyst,CIPUTRA GROUP,Jakarta Raya,"Rp6,073,728"
ASISTEN DIREKSI,Pengiklan Anonim,Surabaya,"Rp4,750,000"
Travel Consultant Manado,PT. Dwidaya World Wide,Manado,"Rp5,307,480"
QUALITY AND REGULATORY AFFAIR MANAJER,PT Shangyang Technology Indonesia,Cikupa,"Rp10,875,000"
Supervisor Research and Development Formulator Kosmetik,PT. Derma Kosmetik Internasional,Kabupaten Bekasi,"Rp8,500,000"
Mechanical Electrical Engineering Officer,PT Esa Sentosa Abadi Indonesia,Medan Helvetia,"Rp4,500,000"
PRESCHOOL TEACHER,PT Kredo Cipta Juara,Jakarta Barat,"Rp5,150,000"
Interior Designer with Graphic Design Skills,PT Sunrise Indonesia,Jakarta Raya,"Rp14,000,000"
host live streaming,PT KARYA KREATIF INDOTAS,Tangerang,"Rp5,000,000"
Admin Penjualan,InterScent Excelindo,Jakarta Raya,"Rp6,930,861"
Host Live Streamer Tiktok,PT. SATYA NATURA PERSADA,Jakarta Utara,"Rp5,250,000"
Store Supervisor_Balikpapan,PT Biru Semesta Abadi,Balikpapan,"Rp4,067,809"
PROJECT MANAGER - KONTRAKTOR INTERIOR/DESIGN INTERIOR & BUILD,PT Satyamas Indoraya,Jakarta Raya,"Rp11,018,852"
Kindergarten Teacher,Blue Dolphin Playskool,Surabaya,"Rp4,481,170"
Supplier Quality Engineer,PT Excelitas Technologies Batam,Batam,"Rp8,288,294"
National Sales Manager,PT Wook Global Technology,Jakarta Utara,"Rp6,625,000"
National Sales Manager,PT Wook Global Technology,Jakarta Utara,"Rp8,301,890"
Senior Admin & Finance Executive (Finance),Swee Lee Musika,Jakarta Selatan,"Rp6,625,000"
Maintenance Planner for Infrastructure,PT Petrolindo Energi Perkasa,Denpasar,"Rp8,500,000"
Tiktok Manager,PT Higienis Indonesia,Jakarta Pusat,"Rp10,000,000"
Account Executive - (Background Media),CINEPOLIS INDONESIA,Tangerang,"Rp5,849,299"
Digital Marketing Manager,PT Tumbuh Bareng Careskin,Pinang,"Rp17,000,000"
Marketing Manager,PT Wedison Green Energy Group,Jakarta Raya,"Rp12,500,000"
Precious Metal Refinery Position (Walk-in Interview June 2025 - Jakarta),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,"Rp11,449,489"
ESTIMATOR PANEL MAKER,PT Intimuara Electrindo,Jakarta Barat,"Rp6,378,466"
Quality Manager,PT Amcor Flexibles Indonesia,Tangerang,"Rp11,790,721"
Regional Sales Manager,Pengiklan Anonim,Palembang,"Rp10,166,011"
Technical Assistant,Wacker Chemicals (South Asia) Pte Ltd,Tangerang Selatan,"Rp6,542,128"
Inside Sales Representative for Indonesia and Australia,Atlas Copco (Thailand) Limited,Jakarta Raya,"Rp11,000,000"
Sales Manager (New Business Development),PT Mitra Distribusi Utama,Pagedangan,"Rp12,500,000"
"Engineer (Installation, Maintenance, Spare Part, Production Equipment)",Pengiklan Anonim,Batam,"Rp9,892,219"
Sales Executive (Water Treatment),PT Afaflow Indonesia (BWT Department),Jakarta Selatan,"Rp7,500,000"
SHOP MANAGER,ANGIN DINGIN UTARA,Bali,"Rp7,500,000"
SALES MANAGER,PT Gamma Persada Sinergi,Jakarta Raya,"Rp10,901,631"
Creative Lead,PT. Cakra Radha Mustika,Jakarta Timur,"Rp6,804,195"
Operations Manager - Bali Area (Ubud & Kintamani),PT. Bobobox Mitra Indonesia,Bali,"Rp11,217,040"
Accounting Excecutive,PT. DARYA CIPTA PRATAMA,Jakarta Selatan,"Rp8,500,000"
Legal & Compliance,PT. Pinjaman Kemakmuran Rakyat,Jakarta Selatan,"Rp6,164,010"
HC System,CIPUTRA GROUP,Jakarta Raya,"Rp7,205,267"
KOORDINATOR FB SERVICE HOTEL,Palmy Exclusive Hotel Berau,Berau,"Rp4,970,854"
Team Leader Technician,PT Euroauto Trans Pratama (PORSCHE CENTRE SURABAYA),Surabaya,"Rp6,600,000"
Head of Procurement,PT Bali Ocean Magic (Waterbom Bali),Kuta,"Rp6,752,105"
Project Leader (Furniture ),PT Warisan Eurindo,Badung,"Rp12,500,000"
Warranty Officer,PT Mitra Angkutan Sejati,Jakarta Utara,"Rp5,769,022"
Speaker Webinar & Seminar,PT SUMBER KARYA BERSAUDARA,Jakarta Raya,"Rp9,500,000"
CORPORATE LEGAL MANAGER,PT Berkah Kawasan Manyar Sejahtera,Gresik,"Rp10,678,508"
Director of Sales and Marketing â€“ FMCG Beauty,Artha Inti Mentari,Tangerang,"Rp6,460,449"
Admin Accounting,CV BERLIAN RETAIL,Surabaya,"Rp3,750,000"
HEAD MARKETING,PT Surya Motor Shelmindo,Kabupaten Tangerang,"Rp21,000,000"
HEAD MARKETING,PT Surya Motor Shelmindo,Kabupaten Tangerang,"Rp12,422,681"
Mechanical Engineer,PT Prakarsalanggeng Majubersama,Jakarta Selatan,"Rp8,145,631"
Business Development,Odoo,Tangerang,"Rp5,737,581"
Project Leader IDC (Motor vehicle industry),Atlas Copco (Thailand) Limited,Jakarta Raya,"Rp21,000,000"
Design Graphic,Miss Fish Bali,Bali,"Rp6,500,000"
SALES PROJECT SPV (MEP - HVAC),PT Indovisual Presentatama,Jakarta Raya,"Rp6,850,000"
Quantity Surveyor Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp6,421,818"
Project Procurement Supervisor,VIVERE GROUP,Banten,"Rp6,747,564"
GC SA & ETP Position (Walk-in Interview June 2025 - Jakarta),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,"Rp10,658,061"
KOL & Affiliate Internship,Learning Time Limited,Jakarta Selatan,"Rp1,750,000"
Sales Marketing Manager,CIPUTRA GROUP,Jakarta Raya,"Rp9,772,974"
Insights Manager,Mondelez International AMEA,Jakarta Raya,"Rp12,534,235"
Business Development Manager,PT Jobstreet Indonesia,Jakarta Selatan,"Rp19,047,913"
FINANCE MANAGER,PT Amazon Colours Indonesia,Tangerang,"Rp14,000,000"
TUKANG MASAK,PT Shangyang Technology Indonesia,Cikupa,"Rp3,450,000"
Staff Pajak,PT SEGAR JAYA MANDIRI,Jakarta Utara,"Rp6,000,000"
Cost Analyst Staff,PT. Zhi Xing Indonesia,Tangerang,"Rp5,500,000"
Junior Technical Support,Bookandlink (PT Surya Jagat Mandiri),Denpasar,"Rp4,750,000"
Account Manager- Senior Sales,PT. Mega Bintang Mas Indonesia,Medan,"Rp17,633,216"
Finance Accounting Staff,LMJ Fishery,Jakarta Raya,"Rp5,500,000"
Branch Manager,PT Bank SBI Indonesia,Jakarta Raya,"Rp12,125,827"
TEKNISI PLC ELEKTRIK (TECHNICIAN ELECTRICAL ELECTRIC ENGINEER ENGINEERING),PT. JAYATEX NONWOVEN INDUSTRI,Lamongan,"Rp4,500,000"
Operations Manager - Bunaken,PT. Bobobox Mitra Indonesia,Manado,"Rp13,381,031"
Product Flavorist/Testing Engineer (Surabaya Placement),PT. Warlbor International Indonesia,Surabaya,"Rp7,532,123"
"Operations Manager - Ijen, Banyuwangi",PT. Bobobox Mitra Indonesia,Banyuwangi,"Rp13,556,670"
Business Development Sales Marketing,"PT. Wisdra International - Grandvision, KPM PT. Prudential Life Assurance",Jakarta Raya,"Rp9,025,000"
Marketing Sales Manager,Pengiklan Anonim,Jakarta Timur,"Rp11,250,000"
Planning & Design Manager,CIPUTRA GROUP,Jakarta Raya,"Rp10,753,297"
CEO OFFICE SPECIALIST,PT Kideco Jaya Agung (Kideco),Paser,"Rp6,968,482"
TEKNISI MESIN & ELEKTRONIK INDUSTRI (KAB. SEMARANG),PT. Batavia Gunung Mas,Kabupaten Semarang,"Rp2,875,000"
"Manager Finance, Accounting, and Tax (FAT)",PT Sing Aji Sentosa,Jakarta Timur,"Rp13,500,000"
MEP Manager,CIPUTRA GROUP,Jakarta Raya,"Rp12,135,578"
Distribution Specialist,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,"Rp14,000,000"
Distribution Specialist,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,"Rp11,744,169"
Assistant Marketing Manager (Reporting),Geo Energy Group,Jakarta Utara,"Rp10,353,299"
Engineering,Pengiklan Anonim,Jawa Timur,"Rp6,015,914"
Finance & Accounting Manager,PT Sinergi Ayu Semesta,Bogor,"Rp14,000,000"
Project Estimator Officer,PT. DCT TOTAL SOLUTIONS,Bekasi,"Rp5,750,000"
Vacation Advisor,PT Indonesia MOC Services (Marriott's Bali Nusa Dua Gardens),Bali,"Rp5,189,100"
Key Account Manager Hospital,COMBIPHAR Group,Surabaya,"Rp11,162,993"
HSE Project Manager,PT Russindo Rekayasa Pranata,Papua Barat,"Rp10,202,409"
Brand Lead,PT Good Sale Tech,Jakarta Raya,"Rp6,140,146"
Marketing Staff Brand Mulsk,PT Juragan Sembilan Sembilan Corp,Kabupaten Malang,"Rp5,333,361"
Leaf Operation Planner,PT TEMPU REJO,Jember,"Rp4,752,258"
Pengawas Proyek,CV Modern,Surabaya,"Rp5,042,207"
Business Development Manager,CIPUTRA GROUP,Jakarta Barat,"Rp19,424,166"
Tehnical product bakery,PT Cipta Makmur Abadi Surabaya,Surabaya,"Rp6,150,000"
Accounting Supervisor,VIVERE GROUP,Tangerang,"Rp7,299,190"
E-Commerce SUPERVISOR â€“ Kosmetik & Kemasan (B2B & Online Channel),PT Shangyang Technology Indonesia,Jakarta Utara,"Rp11,000,000"
PAINTING SUPERVISOR,PT. Lelco Trindo Nusantara,Tangerang,"Rp7,163,524"
TikTok Talent Internship (Digital Campaign & Business Support),PT Bussan Auto Finance (BAF),Jakarta Selatan,"Rp2,702,871"
ACCOUNTING AND TAX MANAGER,PT Trans Ocean Consulting,Jakarta Raya,"Rp16,500,000"
Senior Accounting,PT Karunia Beton Lestari,Medan,"Rp6,712,928"
Arsitek,CV Renon Property - Emporio Architect,Jakarta Raya,"Rp5,051,077"
FAT Asisten Manager,PT. CATUR GRIYA NARADIPA,Tangerang,"Rp10,717,617"
Key Account Manager Food Service / Horeca,PT Delisari Nusantara,Jakarta Utara,"Rp13,265,130"
Marketing & Social Media Manager / Executive Assistant,PT International Recovery Services Indonesia,Tangerang,"Rp8,750,000"
Project Administration Staff,PT Promisco Sinergi Indonesia,Bandung,"Rp5,142,757"
Secretary Admin,Covita Bali,Bali,"Rp5,000,000"
Regional Marketing Manager,Pengiklan Anonim,Jakarta Raya,"Rp11,000,914"
Car Appraiser & Pricing Officer,PT Dipo Star Finance,Jakarta Raya,"Rp6,250,000"
Area Manager,PT Sempoa Sip Indonesia,Tangerang,"Rp8,365,078"
DRIVER (PENGEMUDI) / SUPIR / SOPIR,Bluebird Group Pool Kramat Jati,Jakarta Timur,"Rp8,000,000"
JUNIOR LIGHTING SPECIALIST,PT Lelco Trindo Graha Nusantara,Jakarta Barat,"Rp7,500,000"
Process Engineer,PT Formulatrix Indonesia,Jawa Tengah,"Rp6,590,932"
Marketing Executive,PT Saras Subur Abadi,Surabaya,"Rp11,000,000"
Marketing Executive,PT Saras Subur Abadi,Surabaya,"Rp8,921,124"
Teacher,Yayasan Rinjani Indah (Mandalika Intercultural School),Pujut,"Rp5,210,503"
Research Development Manager,PT Avia Avian Tbk,Sidoarjo,"Rp10,739,500"
Japanese Interpreter,PT NBC Indonesia,Karawang,"Rp7,117,528"
Sales Engineer â€“ Upstream (KKKS).,PT Arflu SE,Kecamatan Tangerang,"Rp11,000,000"
ICT Account Executive,PT PGAS Telekomunikasi Nusantara,Jakarta Barat,"Rp6,375,000"
Precious Metal Refinery Position (Walk-in Interview June 2025 - Bandung),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,"Rp11,261,390"
Sales Property Consultant,PT Rexvin Putra Mandiri,Batam,"Rp5,995,000"
Asst. Estate Manager,PT Batamindo Investment Cakrawala,Batam Kota,"Rp12,200,158"
Translator,PT. KUDA CEPAT HUMAN RESOURCES SERVICE,Jakarta Barat,"Rp12,500,000"
E-Commerce Manager (Shopify Specialist),PT Cut Make Trim,Bali,"Rp10,000,000"
Operations Manager - Rinjani,PT. Bobobox Mitra Indonesia,Lombok,"Rp13,556,670"
Video Editor (MEDAN),PT UNISKAI PETUALANGAN SELANGIT,Medan Polonia,"Rp6,327,025"
Technical Sales Executive (Pipes & Valves),PT Afaflow Indonesia (BWT Department),Jakarta Selatan,"Rp13,500,000"
Videographer & Multimedia Editor Intern,PT Finture Tech Indonesia,Jakarta Selatan,"Rp2,150,362"
PPC SPECIALIST,Teman Dental,Kabupaten Tangerang,"Rp10,000,000"
MT Restaurant Supervisor - Batam,Sari Rasa Group,Batam Kota,"Rp6,875,934"
Preseller (Sales),PT Balina Agung Perkasa,Jakarta Raya,"Rp4,800,000"
Supervisor Outlet,PT. NADA SUARA ABADI,Surakarta,"Rp2,250,000"
"Sales Project - Saklar Stop Kontak, Lampu LED, Smart Home",PT. Niaga Pura Indonesia,Jakarta Barat,"Rp7,500,000"
Accounting & Tax Supervisor,PT Wiksa Taktikal Prima,Jakarta Raya,"Rp7,405,771"
Sales Marketing,PT Dwika Metalindo Sejahtera,Bekasi,"Rp5,875,000"
Estate Head HTI,Pengiklan Anonim,Kutai Kartanegara,"Rp6,467,590"
Sales Executive (Malang),PT Wook Global Technology,Malang,"Rp3,500,000"
Technical Sales (Metal detector & Checkweigher),PT Kamindo Makmur,Jakarta Raya,"Rp10,000,000"
Branch Manager Manado,PT. Dwidaya World Wide,Manado,"Rp9,821,630"
Accounting & Tax Manager,PT Bogamas Maju Indonesia,Jakarta Barat,"Rp10,000,000"
Pharma Relationship Manager,COMBIPHAR Group,Jakarta Raya,"Rp11,336,818"
Accounting & Finance Department Head,PT Brilliant Jaya Inti,Cikarang,"Rp11,500,000"
Sales Engineer - Indonesia,COMAP SE ASIA PTE. LTD.,Jakarta Raya,"Rp8,119,468"
Senior Designer (Architecure),PT SPACElogic International Indonesia,Jakarta Utara,"Rp11,000,000"
Business Development Manager,PT Jobstreet Indonesia,Medan,"Rp19,388,227"
Urban Planner Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp7,500,000"
Urban Planner Section Head,CIPUTRA GROUP,Jakarta Raya,"Rp7,242,447"
Lighting Electrical Engineering & Design,PT DUTA CAHAYA MANDIRI,Serpong Utara,"Rp7,500,000"
Custom Clearance Manager,Pengiklan Anonim,Jakarta Selatan,"Rp19,250,000"
Sales Advisor,PT Metaphor Indonesia,Jakarta Selatan,"Rp5,416,443"
Social Media Specialist,PT Yumeida Utama,Medan,"Rp5,483,290"
Manager SUPER TEGAS DISIPLIN untuk rental motor di BALI,PT. HANSA AGRO LESTARI,Kabupaten Semarang,"Rp7,000,000"
Account Executive,PT INDOLIFE PENSIONTAMA,Jakarta Raya,"Rp6,836,370"
Accounting & Tax Senior Staff,PT Enlight Manajemen Indonesia,Kabupaten Tangerang,"Rp7,250,000"
Sales Executive for Food Processing Machine,PT Newtech Machinery Indonesia,Jakarta Utara,"Rp9,000,000"
Sales Project,PT Toffin Indonesia,Jakarta Utara,"Rp6,594,265"
"Corporate, Private & Community Marketing Hospital (Surabaya)",PT CIPUTRA NUSANTARA (Surabaya),Surabaya,"Rp5,589,757"
Sales Officer Car - Jabodetabek,PT Adira Dinamika Multi Finance Tbk,Jakarta Raya,"Rp5,086,376"
OFFSHORE-Heavy Diesel Mechanic- OEM Specialist,Ready Resources Pty Ltd,Jawa Barat,"Rp6,454,998"
Junior Tax Consultants,MS TAXES,Tangerang Selatan,"Rp5,500,000"
Pembantu /Asisten Rumah Tangga,PT. HANSA AGRO LESTARI,Kabupaten Bekasi,"Rp1,850,000"
Maketing,PT EVERTECH INTERNATIONAL GROUP,Brebes,"Rp5,200,092"
Accounting & Finance Head,PT Galaksi Mandiri Utama,Makassar,"Rp5,559,635"
Translator & Office Administrator,EBC TECHNOLOGY MALAYSIA SDN. BHD.,Jakarta Selatan,"Rp9,081,348"
CNC PROGRAMMER,PT Peroni Karya Sentra,Ngoro,"Rp7,500,000"
Admin Psikologi Berbahasa Inggris untuk Rental Motor di BALI,PT. HANSA AGRO LESTARI,Klaten,"Rp3,400,000"
Project Manager,PT Russindo Rekayasa Pranata,Papua Barat,"Rp10,540,321"
"Staff Finance, Accounting & Tax ( FAT )",Pengiklan Anonim,Tangerang,"Rp5,785,837"
content creator,PT. ADVANCED TECH INDONESIA,Jakarta Pusat,"Rp3,500,000"
Quality Assurance Unit Manager (QMS),PT Excelitas Technologies Batam,Batam,"Rp13,612,031"
Executive - Garment Quality Assurance,PT MAS ARYA INDONESIA,Kendal,"Rp5,323,494"
Perawat Aesthetic,Radin Inten Clinic,Duren Sawit,"Rp4,254,925"
Supervisor Accounting dan Finance,Pengiklan Anonim,Medan,"Rp6,243,485"
Production Staff (IVD Medical Device),Standard Biosensor healthcare,Purwakarta,"Rp5,556,873"
Mechanical Installation Supervisor (Site Coordinator),PT Euroasiatic Jaya,Tangerang Selatan,"Rp4,953,199"
BUSINESS DEVELOPMENT EXECUTIVES,PT Ray Propertindo,Jakarta Raya,"Rp7,499,571"
Senior Corporate Sales Executive,PT. Dwidaya World Wide,Jakarta Raya,"Rp8,003,541"
ADMIN OPERASIONAL / ASST HEAD OF WAREHOUSE,LENO FURNITURE INDONESIA,Cengkareng,"Rp5,000,000"
Quantity Surveyor (QS),CV Karya Dewata Konstruksi,Bali,"Rp6,500,000"
Quantity Surveyor (QS),CV Karya Dewata Konstruksi,Bali,"Rp6,500,000"
SALES PROJECT,Bangun Indah Graha,Malang,"Rp4,536,043"
Sr. Art Director,PT Hexatama Sejahtera,Jakarta Utara,"Rp5,794,195"
MANAGER ACCOUNTING,PT Niagamas Gemilang,Kalimantan Timur,"Rp9,910,848"
Sales Engineer / Pre Sales (Wilayah Jawa / Sumatera),PT PGAS Telekomunikasi Nusantara,Jakarta Barat,"Rp10,500,000"
Channel Sales Manager,Next TI,Jakarta Selatan,"Rp9,803,851"
Sugar Mill Mechanical Fitter-Work in Australia,Ready Resources Pty Ltd,Lampung Tengah,"Rp5,346,295"
Drafter,PT Akustika Swara Indonesia,Tangerang,"Rp5,700,000"
Sales Manager,CV Lancar Sejati,Timika,"Rp11,209,903"
Vice Principal,Sekolah Bogor Raya,Jakarta Raya,"Rp6,061,898"
Content Creator ( Foto/ Videografer Dan Editor Video ),PERSEROAN TERBATAS - BADAN BECKHAM MEGA VICTORY,Jawa Timur,"Rp5,211,729"
Construction Material Sales Specialist Waterproofing,PT Oriental Yuhong Indonesia,Jakarta Utara,"Rp17,500,000"
Martial Arts Development Manager,PT I Like Gym Indonesia,Jakarta Pusat,"Rp14,555,286"
Community Manager,Swee Lee Musika,Jakarta Selatan,"Rp12,013,762"
Community & Product Training Specialist (Skincare),PT ST Morita Industries (MORITA GROUP),Jakarta Timur,"Rp6,750,000"
MANAGER TELEMARKETING,PT. DANBI SOFT INDONESIA,Jakarta Selatan,"Rp12,419,237"
Event Area Promotion,PT Cipta Karya Technology,Banyumas,"Rp4,971,906"
Accounting Manager,PT. Mondooli Group Indonesia,Bali,"Rp10,020,832"
Regulatory Affair,PT. UBC Medical Indonesia (Jakarta),Jakarta Raya,"Rp6,265,565"
Presenter,Pengiklan Anonim,Jakarta Raya,"Rp9,500,000"
KABAG UTILITY/KABAG ELECTRIC,PT. Bintang Asahi Textile Industry,Sidoharjo,"Rp5,221,498"
Technical Site Engineer,PT THERMO TECH SOLUTIONS,Cipondoh,"Rp4,750,000"
Sales Respresentative,PT Multi Grafika Machinery,Jakarta Barat,"Rp6,000,000"
Legal Manager (Construction),PT Hastari Adakara Investama,Kediri,"Rp12,674,839"
Specialist Patent Life Science (Chemistry/ Pharmacy),Am Badar & Am Badar,Jakarta Pusat,"Rp6,511,200"
Senior Financial Analyst,PT Excelitas Technologies Batam,Batam,"Rp8,092,340"
Sales Associate - East Java,PT. Bobobox Mitra Indonesia,Bali,"Rp6,054,138"
SALES EXECUTIVE (INDUSTRIAL MACHINERY),PT. Batavia Gunung Mas,Jakarta Pusat,"Rp5,500,000"
Sales Executive - Freight Forwarding,PT SHOKA CHANDRA ARMADA,Jakarta Raya,"Rp7,209,727"
Preschool Teacher,PT Pam Nasa Sejahtera,Malang,"Rp4,894,201"
SUPERVISOR ACCOUNTING (lokasi : PIK),PT Nusantara Elka Sumber,Jakarta Utara,"Rp10,661,571"
Finance and Accounting Admin,Daewoong Bio Indonesia,Bali,"Rp3,978,869"
Maintenance Supervisor,PT MANDIRI NIAGA INDONESIA,Ungaran,"Rp4,500,000"
Maintenance Supervisor,PT MANDIRI NIAGA INDONESIA,Ungaran,"Rp4,871,131"
B2B Sales Manager,Pengiklan Anonim,Tangerang,"Rp8,984,138"
Sales Executive,PT Hade Sejati Pratama,Jakarta Pusat,"Rp6,659,567"
Group Key Account Manager,PT. EAST INDO FAIR TRADING (YAVA),Jakarta Raya,"Rp13,124,414"
Marketing Executive / Koordinator Agent,PT Graha Mukti Indah,Surabaya,"Rp4,500,000"
Admin Bahasa Inggris Rental Motor di BALI,PT. HANSA AGRO LESTARI,Kabupaten Kediri,"Rp3,400,000"
Content Creator,PT Yumeida Utama,Medan,"Rp4,406,260"
Manager Legal,PT Growth Sumatra Industry,Medan,"Rp13,437,789"
